id,last_name,first_name,job_title,grade,email
27,Ермилов,Тимур,Системный аналитик,Junior,kud_igatapo89@rosbank.ru
28,Ершова,Варвара,Тимлид,Middle,napiwi_turu38@rosbank.ru
29,Ефимова,Вера,Разработчик / Программист,Middle,tukohen_ako29@rosbank.ru
30,Ефремов,Вячеслав,Тимлид,Senior,zedopi-huwe29@rosbank.ru
31,Ефремов,Роман,Менеджер проекта,Senior,wowas-ufoti12@rosbank.ru
32,Журавлев,Максим,Тестировщик,Middle,tiyime-nila31@rosbank.ru
33,Захарова,Арина,Дизайнер,Middle,hul-ocakomu70@rosbank.ru
34,Захарова,Ульяна,Тимлид,Senior,poka_suwoju72@rosbank.ru
35,Зиновьева,Ева,Дизайнер,Junior,yedo-dekija2@rosbank.ru
36,Зотов,Давид,Разработчик / Программист,Junior,metelu_como77@rosbank.ru
37,Ильина,Нина,Менеджер продукта,Middle,kiwoti-wure2@rosbank.ru
38,Исаев,Александр,Менеджер проекта,Middle,neku-mehebi63@rosbank.ru
39,Казакова,Милана,Дизайнер,Middle,jajuzat-uya77@rosbank.ru
40,Калашникова,Мия,Тестировщик,Middle,sacol-ajuti62@rosbank.ru
41,Кириллова,Милана,Бизнес Аналитик,Junior,dejir-iwede20@rosbank.ru
42,Климова,София,Дизайнер,Middle,sulor-inola46@rosbank.ru
43,Князева,Диана,Менеджер продукта,Senior,fire-bujuti53@rosbank.ru
44,Колесникова,Агата,Системный аналитик,Senior,zabexuz_ino22@rosbank.ru
45,Комарова,Вера,Менеджер проекта,Junior,won_ufowuzo29@rosbank.ru
46,Комиссарова,Малика,Разработчик / Программист,Middle,navegu-hodo70@rosbank.ru
47,Костин,Михаил,Менеджер проекта,Middle,xur_uzafine85@rosbank.ru
48,Кузнецов,Матвей,Системный аналитик,Junior,yonuxe_fuye4@rosbank.ru
49,Кузнецов,Роман,Разработчик / Программист,Senior,kuyuk_evepi66@rosbank.ru
50,Кузнецов,Савелий,Тимлид,Junior,nemuz_ubara8@rosbank.ru
51,Кузнецова,Василиса,Менеджер проекта,Junior,xus-ajofefi63@rosbank.ru
52,Куприянова,Мария,Тестировщик,Junior,corebun_iya27@rosbank.ru
53,Ларина,Василиса,Разработчик / Программист,Junior,rewumo-teyu86@rosbank.ru
54,Лукина,Нина,Дизайнер,Junior,hawo_mirenu98@rosbank.ru
55,Львов,Адам,Системный аналитик,Junior,fiv_omiyewo29@rosbank.ru
56,Майорова,Алиса,Бизнес Аналитик,Junior,focu-dugebu14@rosbank.ru
57,Макаров,Никита,Менеджер продукта,Junior,binu-gulene65@rosbank.ru
58,Маркина,Ксения,Тестировщик,Middle,xinir_oliyi61@rosbank.ru
59,Матвеев,Василий,Тестировщик,Junior,fede-fohuyu81@rosbank.ru
60,Михайлова,Аделина,Менеджер продукта,Junior,teyepex_aho45@rosbank.ru
61,Михайлова,Алиса,Системный аналитик,Junior,tanuj_ecaye35@rosbank.ru
62,Муравьев,Али,Бизнес Аналитик,Senior,rajem_ehaco19@rosbank.ru
63,Никитин,Андрей,Тестировщик,Junior,lapelef-upo75@rosbank.ru
64,Николаев,Даниил,Тимлид,Middle,roxeh-oputi3@rosbank.ru
65,Никулина,Елизавета,Тимлид,Junior,cet-avetila52@rosbank.ru
66,Озерова,Ксения,Тестировщик,Middle,hiza-tisiso59@rosbank.ru
67,Орлова,Сафия,Менеджер продукта,Senior,weme-wibade34@rosbank.ru
68,Павлов,Никита,Тимлид,Junior,diwanoz_utu95@rosbank.ru
69,Павлова,Дарина,Системный аналитик,Junior,bixotu-naju57@rosbank.ru
70,Павлова,Камила,Разработчик / Программист,Junior,kulune_miya55@rosbank.ru
71,Панина,Дарья,Системный аналитик,Senior,vaz-etinuhe79@rosbank.ru
72,Панов,Григорий,Бизнес Аналитик,Senior,debizup_ufi88@rosbank.ru
73,Панова,Алиса,Разработчик / Программист,Junior,vafih-agelo19@rosbank.ru
74,Парфенов,Руслан,Менеджер проекта,Senior,bamaro-kidu49@rosbank.ru
75,Петровская,Ульяна,Дизайнер,Middle,mofese-libo54@rosbank.ru
76,Пирогов,Артемий,Тимлид,Senior,musuce-loka70@rosbank.ru
77,Плотникова,Варвара,Менеджер продукта,Middle,vujop-ihezi10@rosbank.ru
78,Позднякова,Милана,Разработчик / Программист,Middle,bef-uwelovu9@rosbank.ru
79,Романова,Ариана,Менеджер продукта,Junior,xil-oyakuga15@rosbank.ru
80,Серебряков,Артём,Системный аналитик,Junior,pado-gehobi91@rosbank.ru
81,Сидорова,Татьяна,Менеджер проекта,Junior,dodokuj-uxo27@rosbank.ru
82,Симонов,Фёдор,Менеджер проекта,Senior,weh-ahegaru94@rosbank.ru
83,Скворцов,Артём,Тестировщик,Junior,rac-oriciri56@rosbank.ru
84,Скворцова,Мария,Системный аналитик,Middle,worucec_elu7@rosbank.ru
85,Смирнова,Анна,Менеджер проекта,Junior,yuwaruh-umo96@rosbank.ru
86,Смирнова,Милана,Менеджер продукта,Senior,runebey-ivu13@rosbank.ru
87,Смирнова,Ульяна,Менеджер продукта,Middle,bizoc-ekoye16@rosbank.ru
88,Соколов,Дмитрий,Системный аналитик,Senior,dusoj_oyuxa18@rosbank.ru
89,Соколов,Тимур,Тестировщик,Senior,cuyazi_jaxe51@rosbank.ru
90,Соколова,София,Тимлид,Junior,juw_apevuge59@rosbank.ru
91,Сорокин,Максим,Бизнес Аналитик,Junior,xaro_yubapi86@rosbank.ru
92,Старикова,Ксения,Тестировщик,Middle,xive-pakeka36@rosbank.ru
93,Тарасов,Михаил,Разработчик / Программист,Middle,zuvaju_puxo79@rosbank.ru
94,Трошина,Валерия,Системный аналитик,Junior,poxezu_lopu37@rosbank.ru
95,Успенский,Кирилл,Менеджер продукта,Middle,dovaro_yoca3@rosbank.ru
96,Фадеев,Савелий,Менеджер продукта,Senior,xasi-koxuru15@rosbank.ru
97,Филатов,Тихон,Менеджер продукта,Middle,wakacu_dezi54@rosbank.ru
98,Фомичева,Вероника,Дизайнер,Junior,kagor-ovibi59@rosbank.ru
99,Хомяков,Святослав,Менеджер проекта,Junior,vale_fuzaxe15@rosbank.ru
100,Чеботарева,Валерия,Тимлид,Middle,xojop_umini42@rosbank.ru
