id,first_name,last_name,email,job_title,grade
75,Ульяна,Петровская,mofese-libo54@rosbank.ru,Дизайнер,Middle
76,Артемий,Пирогов,musuce-loka70@rosbank.ru,Тимлид,Senior
77,Варвара,Плотникова,vujop-ihezi10@rosbank.ru,Менеджер продукта,Middle
78,Милана,Позднякова,bef-uwelovu9@rosbank.ru,Разработчик / Программист,Middle
79,Ариана,Романова,xil-oyakuga15@rosbank.ru,Менеджер продукта,Junior
80,Артём,Серебряков,pado-gehobi91@rosbank.ru,Системный аналитик,Junior
81,Татьяна,Сидорова,dodokuj-uxo27@rosbank.ru,Менеджер проекта,Junior
82,Фёдор,Симонов,weh-ahegaru94@rosbank.ru,Менеджер проекта,Senior
83,Артём,Скворцов,rac-oriciri56@rosbank.ru,Тестировщик,Junior
84,Мария,Скворцова,worucec_elu7@rosbank.ru,Системный аналитик,Middle
85,Анна,Смирнова,yuwaruh-umo96@rosbank.ru,Менеджер проекта,Junior
86,Милана,Смирнова,runebey-ivu13@rosbank.ru,Менеджер продукта,Senior
87,Ульяна,Смирнова,bizoc-ekoye16@rosbank.ru,Менеджер продукта,Middle
88,Дмитрий,Соколов,dusoj_oyuxa18@rosbank.ru,Системный аналитик,Senior
89,Тимур,Соколов,cuyazi_jaxe51@rosbank.ru,Тестировщик,Senior
90,София,Соколова,juw_apevuge59@rosbank.ru,Тимлид,Junior
91,Максим,Сорокин,xaro_yubapi86@rosbank.ru,Бизнес Аналитик,Junior
92,Ксения,Старикова,xive-pakeka36@rosbank.ru,Тестировщик,Middle
93,Михаил,Тарасов,zuvaju_puxo79@rosbank.ru,Разработчик / Программист,Middle
94,Валерия,Трошина,poxezu_lopu37@rosbank.ru,Системный аналитик,Junior
95,Кирилл,Успенский,dovaro_yoca3@rosbank.ru,Менеджер продукта,Middle
96,Савелий,Фадеев,xasi-koxuru15@rosbank.ru,Менеджер продукта,Senior
97,Тихон,Филатов,wakacu_dezi54@rosbank.ru,Менеджер продукта,Middle
98,Вероника,Фомичева,kagor-ovibi59@rosbank.ru,Дизайнер,Junior
99,Святослав,Хомяков,vale_fuzaxe15@rosbank.ru,Менеджер проекта,Junior
100,Валерия,Чеботарева,xojop_umini42@rosbank.ru,Тимлид,Middle
